City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
293,Svetlogorsk,52.6333,29.7333,27.84,96,100,10.36,BY,light snow
294,Octeville,49.6261,-1.6435,47.91,66,75,18.41,FR,broken clouds
295,Ponyri,52.3186,36.3039,29.64,95,98,13.27,RU,overcast clouds
296,Pochutla,15.7432,-96.4661,77.85,81,3,3.15,MX,clear sky
297,Luderitz,-26.6481,15.1594,63.32,93,63,7.47,NA,broken clouds
298,Poum,-20.2333,164.0167,80.24,75,100,13.13,NC,overcast clouds
299,Inndyr,67.0338,14.0276,24.84,77,98,8.5,NO,overcast clouds
300,Codrington,-38.2667,141.9667,75.92,65,3,13.96,AU,clear sky
301,Baghdad,33.3406,44.4009,39.11,75,0,2.3,IQ,clear sky
302,Vila Velha,-20.3297,-40.2925,78.75,91,20,2.3,BR,few clouds
303,Tigil,57.8,158.6667,30.07,70,99,20.83,RU,overcast clouds
304,Jaen,38.0,-3.5,45.93,37,97,2.06,ES,overcast clouds
305,Treinta Y Tres,-33.2333,-54.3833,67.05,83,0,8.19,UY,clear sky
306,Kaili,-3.4626,120.2147,82.44,56,81,3.8,ID,light rain
307,Porto Murtinho,-21.6989,-57.8825,77.95,68,13,2.57,BR,few clouds
308,Pangnirtung,66.1451,-65.7125,-21.24,86,87,6.15,CA,overcast clouds
309,Oakdale,44.963,-92.9649,15.17,83,40,4.61,US,scattered clouds
310,Kem,64.9555,34.5793,16.02,95,100,8.05,RU,overcast clouds
311,Ruhengeri,-1.4998,29.635,59.58,83,100,2.8,RW,overcast clouds
312,Lavrentiya,65.5833,-171.0,-8.19,93,14,6.2,RU,few clouds
313,Pauri,30.15,78.7833,51.22,37,0,0.78,IN,clear sky
314,Baykit,61.67,96.37,-0.94,97,96,0.67,RU,overcast clouds
315,Santa Maria,-29.6842,-53.8069,68.47,80,14,4.65,BR,few clouds
316,Diamantino,-14.4086,-56.4461,71.6,98,100,7.36,BR,light rain
317,Nadym,65.5333,72.5167,-7.13,100,93,7.72,RU,overcast clouds
318,Prince Rupert,54.3161,-130.3201,37.09,100,100,8.05,CA,light rain
319,Matara,5.9485,80.5353,82.49,74,16,5.32,LK,few clouds
320,Lorengau,-2.0226,147.2712,81.34,82,100,17.09,PG,overcast clouds
321,Wanxian,30.8039,108.3897,50.29,60,100,4.45,CN,light rain
322,Maues,-3.3836,-57.7186,72.18,96,99,1.86,BR,overcast clouds
323,Springbok,-29.6643,17.8865,73.94,61,81,11.27,ZA,broken clouds
324,Opuwo,-18.0607,13.84,60.37,57,98,2.89,NA,overcast clouds
325,Kiama,-34.6833,150.8667,83.57,70,26,5.99,AU,scattered clouds
326,Padang,-0.9492,100.3543,84.25,63,81,2.86,ID,broken clouds
327,Henties Bay,-22.116,14.2845,66.85,81,75,7.31,NA,broken clouds
328,Taybad,34.74,60.7756,38.98,62,0,3.0,IR,clear sky
329,Buluang,13.3068,123.3425,85.14,64,26,6.38,PH,scattered clouds
330,Maroantsetra,-15.4333,49.7333,77.56,81,41,6.49,MG,scattered clouds
331,Siderno,38.2779,16.302,55.83,83,1,6.29,IT,clear sky
332,Awjilah,29.1081,21.2869,52.25,63,79,13.65,LY,broken clouds
333,Katangli,51.7102,143.2326,9.64,93,100,18.86,RU,light snow
334,Biltine,14.5333,20.9167,58.17,17,3,12.82,TD,clear sky
335,Rincon,32.296,-81.2354,48.85,49,0,11.5,US,clear sky
336,Narathiwat,6.3333,101.75,92.73,56,68,6.15,TH,broken clouds
337,Lompoc,34.6391,-120.4579,57.13,92,0,0.0,US,clear sky
338,Oranjemund,-28.55,16.4333,65.28,90,98,4.99,NA,overcast clouds
339,Victor Harbor,-35.5667,138.6167,92.46,53,29,4.7,AU,scattered clouds
340,Kruisfontein,-34.0033,24.7314,65.88,93,87,3.51,ZA,overcast clouds
341,Llanes,43.4198,-4.7549,49.89,82,68,4.25,ES,broken clouds
342,Namatanai,-3.6667,152.4333,84.49,71,96,4.94,PG,light rain
343,Teguldet,57.3064,88.1667,3.87,94,28,3.42,RU,scattered clouds
